first,second,ans
палата представитель,армения,neg
палата представитель,конгресс сша,neg
палата представитель,баку,pos
палата представитель,сша,neg
палата представитель,тбилиси,pos
палата представитель,конгресс,neg
соединить штат,азербайджан,neg
соединить штат,южный кавказ,pos
соединить штат,евросоюз,neg
соединить штат,соединить штат,pos
соединить штат,кавказ,neg
соединить штат,запад,neg
соединить штат,турция,pos
соединить штат,абхазский,neg
соединить штат,су,pos
соединить штат,тбилиси,pos
соединить штат,нато,neg
соединить штат,грузия,neg
пво,кавказский регион,neg
пво,армения,neg
пво,центральный азия,pos
пво,снг,neg
пво,россия,neg
пво,кавказ,neg
пво,центр,pos
пво,су,neg
пво,восточный европа,neg
пво,владимир путин,neg
пво,европа,pos
пво,восточный европ,neg
евразийский экономический союз,азербайджан,neg
евразийский экономический союз,гюмри,neg
евразийский экономический союз,армения,pos
евразийский экономический союз,россия,neg
евразийский экономический союз,турецкий,neg
евразийский экономический союз,су,neg
евразийский экономический союз,москва,neg
евразийский экономический союз,грузия,neg
евразийский экономический союз,европейский союз,neg
мид,азербайджан,neg
мид,россия,neg
мид,анкара,pos
мид,эльмар мамедьяр,pos
мид,турция,pos
мид,тбилиси,pos
мид,москва,neg
мид,грузия,pos
кавказский регион,азербайджан,neg
кавказский регион,ближний восток,pos
кавказский регион,армения,pos
кавказский регион,кавказский регион,neg
кавказский регион,россия,pos
кавказский регион,анкара,pos
кавказский регион,кавказ,neg
кавказский регион,турция,pos
кавказский регион,москва,pos
кавказский регион,владимир путин,neg
кавказский регион,конрад заштовт,neg
азербайджан,ближний восток,pos
азербайджан,армения,neg
азербайджан,трансанатолийский,pos
азербайджан,карабах,neg
азербайджан,абхазия,neg
азербайджан,нагорный карабах,pos
азербайджан,евросоюз,neg
азербайджан,хасан роухани,pos
азербайджан,азербайджанский ассоциация дружба,neg
азербайджан,россия,neg
азербайджан,анкара,neg
азербайджан,иран,neg
азербайджан,ереван,neg
азербайджан,эрдогать,pos
азербайджан,турецкий,pos
азербайджан,ильхам алиев,neg
азербайджан,кавказ,neg
азербайджан,трансадриатический газопровод,pos
азербайджан,эльмар мамедьяр,pos
азербайджан,запад,neg
азербайджан,баку,pos
азербайджан,турция,pos
азербайджан,azerbaycan dostluk derne,neg
азербайджан,южный осетия,pos
азербайджан,gurcistan dostluk derne,neg
азербайджан,су,pos
азербайджан,грузинский ассоциация дружба,pos
азербайджан,сирия,neg
азербайджан,сша,pos
азербайджан,тбилиси,pos
азербайджан,москва,neg
азербайджан,нато,pos
азербайджан,грузия,pos
азербайджан,европейский союз,neg
азербайджан,тегеран,pos
гюмри,армения,pos
гюмри,россия,pos
гюмри,турецкий,neg
ближний восток,россия,neg
ближний восток,кавказ,neg
ближний восток,баку,pos
ближний восток,турция,pos
ближний восток,су,pos
ближний восток,сирия,pos
ближний восток,ближний восток,pos
ближний восток,исламский республика,neg
ближний восток,конрад заштовт,neg
кемаля ататюрк,сша,neg
